mu,avg_ln_order,std_ln_order,avg_max_cycle_ratio,avg_cycle_count
3.6,17.245326563247694,4.455809102892268,0.6873697916666667,7.533333333333333
3.61,19.330692029684585,4.091381692811016,0.5934244791666666,7.8
3.62,18.047057445019007,4.057756935656664,0.6389322916666667,7.766666666666667
3.63,20.15992196697135,6.040699235004719,0.5660481770833333,8.2
3.64,18.57581617884056,4.6824407024135555,0.6096028645833333,8.033333333333333
3.65,19.98158440590312,5.0633817556415535,0.5595052083333333,8.333333333333334
3.66,17.556808298308102,4.395231223864392,0.6558919270833333,7.133333333333334
3.67,18.91988032770768,4.777120788614398,0.5559895833333334,7.266666666666667
3.68,18.735112780009047,5.677975782453031,0.62041015625,7.366666666666666
3.69,19.30278291986138,4.96033814019952,0.6087239583333334,7.966666666666667
3.7,17.441619207937958,4.558762525143525,0.6454752604166667,8.133333333333333
3.71,16.940458844412873,4.198056880907072,0.65947265625,7.333333333333333
3.72,18.020429014872594,5.665024343224369,0.6455078125,7.866666666666666
3.73,18.928264449079094,4.508981882673819,0.6332682291666667,7.866666666666666
3.74,18.022347741130396,4.4515702889221425,0.6516276041666667,9.3
3.75,17.525488030615183,3.9351275401739825,0.5626302083333333,7.266666666666667
3.76,17.34826904167945,4.246278228796185,0.6575846354166667,6.633333333333334
3.77,17.836993608167724,3.4974773869595146,0.6413736979166667,7.0
3.78,16.169837791282514,3.9646997629377503,0.6915690104166666,7.166666666666667
3.79,18.54497110918746,4.787981257000909,0.6092122395833334,8.166666666666666
3.8,17.557596392759947,4.781913201119384,0.5908528645833333,7.766666666666667
3.81,17.715729648385206,4.726079566997349,0.6612955729166666,7.366666666666666
3.82,16.457107077720426,4.68555530041816,0.6908203125,7.5
3.83,11.927074239902026,0.60201196514169,0.6767578125,5.1
3.84,20.108499992993234,3.9305604880669054,0.46513671875,8.966666666666667
3.85,19.38791866050426,4.317443254148278,0.59365234375,7.766666666666667
3.86,18.1574359252325,5.811956281096941,0.57939453125,7.566666666666666
3.87,17.694052453022422,4.44431066330087,0.6038411458333334,7.3
3.88,19.24638562081804,5.809757921195204,0.63310546875,7.566666666666666
3.89,19.31362704356674,4.963965016158258,0.6189453125,7.266666666666667
3.9,18.09513841583706,4.785580071452127,0.7113932291666667,7.566666666666666
3.91,18.751796969184593,4.334483168397449,0.5857096354166667,7.7
3.92,18.011269331182273,4.61380426592357,0.6493489583333333,7.3
3.93,17.343913490962954,5.100827993359808,0.6304361979166667,7.233333333333333
3.94,18.205952737025036,4.587453768427866,0.5892578125,8.033333333333333
3.95,18.030837372688758,4.458518687975693,0.6387044270833333,8.1
3.96,16.61281561980817,3.742085280850597,0.6546223958333334,6.866666666666666
3.97,17.14105782228376,4.389887934228297,0.64814453125,6.766666666666667
3.98,17.64489214824383,4.993209772051597,0.6177734375,7.366666666666666
3.99,18.782810219900185,4.690478678812659,0.6380208333333334,7.733333333333333
4.0,17.495539368474176,3.6396353751784383,0.6382486979166667,7.533333333333333
