mapping,diff_rate_mean,diff_rate_std,footrule_mean,footrule_std
Logistic,0.9990559895833333,0.0009921712665448027,0.669714609781901,0.01038639636217079
Tent,0.9989583333333333,0.001006485991779968,0.6671887715657552,0.013644616192681364
Chebyshev,0.9988932291666667,0.0010314439790204987,0.6628690083821615,0.011044166856558287
Sine,0.9988932291666667,0.0010314439790204987,0.6627304077148437,0.019005730723489312
Henon,0.9988932291666667,0.0010001491859203918,0.6659858703613282,0.016794762852853397
