group,N,ln_order,max_cycle_ratio,cycle_count
Chaos-Tent,1024,23.824954461812904,0.40234375,12
Chaos-Tent,1024,16.46182917479312,0.759765625,7
Chaos-Tent,1024,22.43427230463529,0.3662109375,8
Chaos-Tent,1024,17.50988637933935,0.6689453125,11
Chaos-Tent,1024,15.116995116849374,0.8408203125,7
Chaos-Tent,1024,19.979724242095653,0.5517578125,7
Chaos-Tent,1024,29.848895156665257,0.412109375,8
Chaos-Tent,1024,14.782911047384124,0.9150390625,7
Chaos-Tent,1024,20.172934175325917,0.7548828125,9
Chaos-Tent,1024,15.440695827366014,0.837890625,9
Chaos-Tent,1024,20.949338454355175,0.685546875,12
Chaos-Tent,1024,23.194298283553515,0.29296875,14
Chaos-Tent,1024,18.23396323510382,0.4169921875,8
Chaos-Tent,1024,28.122701470178264,0.3515625,10
Chaos-Tent,1024,22.91265730879188,0.51171875,9
Chaos-Tent,1024,16.268575601896117,0.9130859375,9
Chaos-Tent,1024,17.933186807137403,0.6005859375,7
Chaos-Tent,1024,23.130775839735826,0.341796875,10
Chaos-Tent,1024,12.034785979756181,0.544921875,6
Chaos-Tent,1024,10.647731758224072,0.9560546875,4
Chaos-Tent,1024,18.040166020086655,0.7685546875,5
Chaos-Tent,1024,26.715543323129864,0.2548828125,13
Chaos-Tent,1024,15.828040364660954,0.931640625,6
Chaos-Tent,1024,21.901351665188773,0.6201171875,6
Chaos-Tent,1024,19.338753886388613,0.3662109375,8
Chaos-Chebyshev,1024,12.528590832817413,0.8642578125,8
Chaos-Chebyshev,1024,22.632630005929947,0.6728515625,8
Chaos-Chebyshev,1024,13.674108270959183,0.7763671875,7
Chaos-Chebyshev,1024,16.007561776526497,0.5810546875,9
Chaos-Chebyshev,1024,19.22543974399112,0.4765625,5
Chaos-Chebyshev,1024,14.847576978788483,0.48046875,8
Chaos-Chebyshev,1024,18.85460688692735,0.6728515625,8
Chaos-Chebyshev,1024,15.924983120469994,0.521484375,10
Chaos-Chebyshev,1024,15.007146778599022,0.93359375,6
Chaos-Chebyshev,1024,19.236308602283195,0.5546875,8
Chaos-Chebyshev,1024,12.729142995712602,0.6865234375,5
Chaos-Chebyshev,1024,16.004084492819704,0.546875,4
Chaos-Chebyshev,1024,11.692392952781276,0.794921875,5
Chaos-Chebyshev,1024,13.364980089982039,0.8525390625,3
Chaos-Chebyshev,1024,24.056838277934638,0.6865234375,8
Chaos-Chebyshev,1024,21.119076833724073,0.5361328125,11
Chaos-Chebyshev,1024,16.320594764753526,0.517578125,11
Chaos-Chebyshev,1024,15.520076815489952,0.5078125,5
