mapping,N,avg_ln_order,std_ln_order,avg_max_cycle_ratio,avg_cycle_count,avg_fixed_point_ratio,avg_short_cycle_ratio
Logistic,64,6.713581180081293,1.6557404663780562,0.64828125,4.54,0.01421875,0.025
Logistic,128,9.401951217803418,2.1192755936992675,0.595234375,5.65,0.007578125,0.014375
Logistic,256,10.898683131267386,2.643961931070942,0.66359375,5.9,0.00359375,0.006796875
Logistic,512,14.169262200794762,3.4210086741636134,0.62859375,6.61,0.00197265625,0.003671875
Logistic,1024,18.142523750799704,4.248452715208628,0.6045703125,7.48,0.00099609375,0.001669921875
Logistic,2048,22.472268677046262,5.457182185649953,0.623720703125,7.92,0.00044921875,0.000810546875
Logistic,4096,25.03860580462889,6.148734518843316,0.6483447265625,8.56,0.00024658203125,0.00043701171875
Tent,64,6.666256359660987,1.6597447004753585,0.614375,4.83,0.0146875,0.028125
Tent,128,9.039478521214471,2.275757305140497,0.61703125,5.78,0.00796875,0.015
Tent,256,11.644235422219069,2.9580855729385274,0.6159765625,6.17,0.0037890625,0.0065625
Tent,512,14.880124477339566,3.9233678704222,0.60650390625,6.9,0.00181640625,0.00326171875
Tent,1024,17.16451580056467,4.653466680780616,0.64880859375,7.04,0.00095703125,0.001708984375
Tent,2048,21.956078951245246,5.648508896584499,0.6193115234375,8.07,0.00052734375,0.000849609375
Tent,4096,26.830967661764475,7.176715455296293,0.6076513671875,8.87,0.000224609375,0.0004248046875
Chebyshev,64,6.476393554935379,1.6164910880633954,0.65625,4.49,0.01515625,0.0259375
Chebyshev,128,8.850404950379893,2.137040890277825,0.639453125,5.26,0.0084375,0.01453125
Chebyshev,256,11.563420306862081,2.914444588060144,0.6304296875,6.32,0.0046484375,0.0080859375
Chebyshev,512,15.274167492933664,3.922920287686126,0.59751953125,6.48,0.00173828125,0.002890625
Chebyshev,1024,18.103711196920603,5.002587299000347,0.645791015625,7.46,0.001064453125,0.001884765625
Chebyshev,2048,22.22229113882462,6.07971404386551,0.643447265625,7.94,0.0004443359375,0.0007861328125
Chebyshev,4096,27.59098308581496,6.783309223404558,0.59209716796875,9.51,0.00024658203125,0.00049072265625
Sine,64,6.693960187714605,1.503850202861822,0.65421875,4.59,0.014375,0.0265625
Sine,128,8.906483971489108,2.401631084352741,0.649453125,5.36,0.008359375,0.014453125
Sine,256,11.466531907769854,2.554028497545478,0.6253515625,6.07,0.003984375,0.00703125
Sine,512,15.074727310869532,3.680192461358028,0.61875,6.82,0.00220703125,0.00359375
Sine,1024,17.761324377570674,4.762597609138774,0.63435546875,7.55,0.000830078125,0.00173828125
Sine,2048,21.443056408533753,4.955507583251,0.6219482421875,8.45,0.00060546875,0.000947265625
Sine,4096,27.04552181730967,7.350821223709651,0.6184619140625,9.13,0.0002197265625,0.00042724609375
Henon,64,6.698552186365941,1.4601666888693927,0.63921875,4.52,0.015,0.02609375
Henon,128,9.006103772251691,2.2684841499368025,0.627421875,5.18,0.0065625,0.012734375
Henon,256,11.446015081050179,2.717175853867866,0.63828125,6.04,0.0033203125,0.007265625
Henon,512,14.694476076176324,3.5224887039119555,0.63140625,7.19,0.00203125,0.0037890625
Henon,1024,17.997333001923614,4.573822565382736,0.61119140625,7.69,0.000947265625,0.001796875
Henon,2048,21.103500747011758,5.255262988142136,0.62814453125,7.81,0.0005126953125,0.0008740234375
Henon,4096,27.09172978858276,7.786895965659109,0.63065185546875,9.08,0.00022705078125,0.00044677734375
Fisher-Yates,64,6.874534377247864,1.5899678530705732,0.6,4.74,0.013125,
Fisher-Yates,128,8.713349821812002,2.1260696641581376,0.64890625,5.22,0.007109375,
Fisher-Yates,256,11.445221904766411,2.9654521683044077,0.631015625,6.01,0.0037890625,
Fisher-Yates,512,15.39657192575146,4.293809660451054,0.58916015625,7.25,0.00185546875,
Fisher-Yates,1024,18.137993808465573,4.471546660675876,0.598046875,7.4,0.000927734375,
Fisher-Yates,2048,21.761219557474647,5.456691903241222,0.627080078125,8.3,0.0005126953125,
Fisher-Yates,4096,26.587646154035543,7.216927297396018,0.65519775390625,9.15,0.00030029296875,
